Site	Plot	Treatment	Tag	Species	LeafPh_Mg	LeafPh_J16	LeafPh_M17g	LeafPh_S17g	LeafPh_M18g	LeafPh_S18g	RootfPh_Mg	RootPh_J16	RootPh_M17g	RootPh_S17g	RootPh_M18g	RootPh_S18g	LeafTa_Mg	LeafTa_J16	LeafTa_M17g	LeafTaS17g	LeafTa_M18g	LeafTa_S18g	RootTa_Mg	RootTa_J16	RootTa_M17g	RootTa_S17g	RootTa_M18g	RootTa_S18g	LeafSu_Mg	LeafSu_J16	LeafSu_M17g	LeafSu_S17g	LeafSu_M18g	LeafSu_S18g	RootSu_Mg	RootSu_J16	RootSu_M17g	RootSu_S17g	RootSu_M18g	RootSu_S18g	LeafSt_Mg	LeafSt_J	LeafSt_M17g	LeafSt_S17g	LeafSt_M18g	LeafSt_S18g	RootSt_Mg	RootSt_J16	RootSt_M17g	RootSt_S17g	RootSt_M18g	RootSt_S18g	LeafNSC_0g	LeafNSC_J	LeafNSC_M17g	LeafNSC_S17g	LeafNSC_M18g	LeafNSC_S18g	RootNSC_0g	RootNSC_J	RootNSC_M17g	RootNSC_S17g	RootNSC_M18g	RootNSC_S18g
Gamir	1	Control	1	Q. suber							98.52	45.47	163.24	257.33	164.96	212.43							13.32	2.37	7.94	45.24	10.32	8.102							50.69	9.32	17.12	11.16	9.48	10.767							7.07	20.6	3.07	24.57	28.47	21.551							57.76	29.91	20.19	35.73	37.96	32.32
Gamir	1	Control	2	Q. canariensis	46.33	133.86	155.92	171.9	252.52	197.02	122.63	73.69	171.77	250.99	244.01	196.652	17.82	53.97	49.13	24.02	55.23	45.341	6.01	2.79	4.16	24.77	6.05	1.287	125.68	127.07	137.16	58.83	64.9	61.177	41.94	13.34	11.69	16	11.16	10.436	16.27	66.1	11.72	18.52	33.43	30.413	5.44	15.69	1.19	33.43	18.47	42.362	141.94	193.17	148.88	77.35	98.33	91.59	47.38	29.03	12.88	49.44	29.63	52.8
Gamir	1	Control	3	Q. canariensis	55.24	99.24	124.92	234.55	201.66	153.764	109.93	69.18	106.37	302.67	251.8	208.966	26.64	33.96	35.72	50.36	22.77	21.131	6.51	14.46	1.4	7.22	29.95	1.847	130.27	118.32	139.34	58.87	68.66	58.176	48.25	12.9	15.26	13.77	12.3	10.096	18.7	62.66	11.7	15.72	50.02	70.866	5.09	13.65	1.57	29.5	23.39	18.376	148.97	180.97	151.04	74.6	118.68	129.04	53.34	26.56	16.84	43.27	35.69	28.47
Gamir	1	Control	4	Q. canariensis	40.97	67.51	101.27	233.44	246.58	190.309	88.48	33.76	105.81	266.86	287.6	235.688	12.32	33.48	22.02	64.69	94.9	42.708	3.08	0.57	0	33.55	5.22	1.237	148.42	98.43	150.28	68.31	70.26	55.598	41.81	14.67	15.35	19.56	8.61	10.583	15.77	50.86	4.95	48.09	36.25	33.9	6.1	16.09	4.13	27.16	33.34	17.778	164.19	149.3	155.24	116.4	106.51	89.5	47.91	30.76	19.48	46.72	41.96	28.36
Gamir	1	Control	6	Q. suber	49.14	74.85	114.19	243.52	192.39	160.868	124.23	69.13	131.75	257.97	253.31	243.243	15.16	0.59	39.19	27.2	18.88	27.215	15.27	3.96	3.24	11.23	21.35	5.135	184.21	106.22	188.81	57.26	87.14	59.773	44.05	14.41	11.84	15	7.61	12.307	16.42	57.32	19.05	18.71	46.6	45.926	5.2	18.58	2.99	31.57	18.18	16.328	200.64	163.54	207.86	75.97	133.74	105.7	49.25	32.98	14.83	46.57	25.79	28.64
Gamir	1	Control	7	Q. suber	59.25	92.13	140.06	196.18	154.18	118.289	110.56	67.18	202.43	225.88	143.85	225.109	16.82	0	30.44	13.49	10.92	18.607	6.18	10.93	7.05	11.92	21.08	11.53	168.05	112.81	211.14	64.25	95.49	83.499	37.86	10.45	13.9	12.79	9.87	7.395	16.75	81.18	5.88	15.57	36.46	31.423	3.87	14.32	2.87	23.71	32.6	21.789	184.8	193.99	217.02	79.82	131.95	114.92	41.72	24.77	16.77	36.5	42.47	29.18
Gamir	2	Control	8	Q. canariensis	34.59	51.26	73.34	158.71	148.18	166.828	134.91	79.55	103.92	268.26	196.16	214.408	6.94	17.59	14.96	34.39	22.14	39.709	25.24	13.3	7.05	42.62	27.67	16.159	145.38	110.98	128.95	62.22	52.73	44.5	38.12	11.07	7.4	7.88	6.76	7.941	29.36	58.18	6.4	37.11	41.39	35.444	3.16	11.01	2.06	16.08	27.47	13.126	174.74	169.16	135.35	99.33	94.12	79.94	41.27	22.08	9.46	23.97	34.23	21.07
Gamir	2	Control	9	Q. canariensis	45.37	63.83	156.87	292.38	188.06	173.205	88.29	63.52	97.03	294.99	159.97	187.562	5.98	23.12	40.13	117.5	38.22	45.534	4.05	1.3	0	36.23	5.36	2.598	176.77	103.29	121.69	50.12	66.58	43.921	39.71	15.28	16.5	12.05	9.94	4.681	30.64	56.99	2.91	32.87	44.74	34.397	5.07	11.74	2.26	26.79	29.07	20.956	207.41	160.28	124.59	82.99	111.33	78.32	44.78	27.02	18.76	38.84	39.01	25.64
Gamir	2	Control	10	Q. canariensis	24.1	58.73	167.5	198.08	114.88	240.029	71.68	53.22	136.47	141.98	183.99	147.781	6.1	28.84	35.95	47.82	19.13	36.209	2.48	0.26	0.63	12.06	7.3	0.26	127.07	98.88	106.9	41.92	54.89	39.679	31	13.5	12.94	7.88	11.29	9.357	28.24	58.57	12.14	14.37	55.13	29.701	4.12	14.65	3.16	20.35	41.78	26.879	155.31	157.46	119.04	56.29	110.02	69.38	35.12	28.14	16.1	28.22	53.07	36.24
Gamir	2	Control	11	Q. suber	99.21	35.81	149.36	329.68	257.19	196.853	97.08	43.17	131.62	204.3	193.12	209.105	65.37	0	53.36	91.01	50.82	38.157	17.85	2.31	10.76	41.29	27.19	19	151.48	98.39	181.33	52.8	59.77	44.684	31.57	8.26	9.28	9.03	6.12	8.338	25.37	68.97	28.56	22.75	53.55	76.607	6.05	13.03	2.41	25.16	17.26	13.2	176.85	167.37	209.89	75.56	113.32	121.29	37.62	21.3	11.69	34.19	23.38	21.54
