Code	Finca	Plot	Bloque	Tratam	Nºarbol	Especie	NMuestra Lab.	%Sand	pH18	%Hum18	%MO18	Cmic18 	Nmic18	Pmic18	Cmic/Nmic18	Cmic/Pmic18	Nmic/Pmic18	PBray18	NO3_18	NH4_18	Ureasa18	B-Glucosidasa18	Fosfomonoesterasa18	pathogen2016	pathogen2017	pathogen2018
1	Gamir	1	1	Control	1	Alcornoque	G-1	66.62	5.3	35.29	12.03	555.7	92.13	35.67	6.03	15.58	2.58	2.24	7.23	19.08	3.33	1.85	4.175	40	214	587
2	Gamir	1	1	Control	2	Quejigo	G-2	72.37	5.67	26.42	10.52	328.35	48.18	13.25	6.81	24.77	3.64	5.77	7.15	9.28	1.89	0.407	2.874	53	88	139
3	Gamir	1	1	Control	3	Quejigo	G-3	69.36	5.48	57.75	23.43	1125.1	262.97	122.29	4.28	9.2	2.15	2.31	46.74	11.42	10.587	3.703	12.27	80	140	49
4	Gamir	1	1	Control	4	Quejigo	G-4	67.99	5.47	46.72	15.09	703.49	173.23	76.68	4.06	9.17	2.26	3.45	50.82	28.1	7.017	2.539	8.138	42	160	257
6	Gamir	1	1	Control	6	Alcornoque	G-6	63.01	5.52	39.35	12.93	943.49	183.01	49.03	5.16	19.24	3.73	2.91	36.39	11.36	7.201	2.083	4.975	27	26	207
7	Gamir	1	1	Control	7	Alcornoque	G-7	60.58	5.38	37.38	13.93	850.11	178.7	54.11	4.76	15.71	3.3	2.66	37.14	9.17	5.933	2.062	6.49	224	109	66
8	Gamir	2	2	Control	8	Quejigo	G-8	73.33	5.85	39.44	10.57	467.43	153.1	62.93	3.05	7.43	2.43	0.67	61.47	9.15	5.747	1.723	4.214	45	54	106
9	Gamir	2	2	Control	9	Quejigo	G-9	81.5	5.91	34.75	5.71	627.88	121.56	23.22	5.17	27.04	5.24	5.75	29.69	5.49	3.268	1.049	1.728	36	20	267
10	Gamir	2	2	Control	10	Quejigo	G-10	84.12	5.74	40.21	7.89	530.68	103.39	32.11	5.13	16.53	3.22	3.81	14.14	17.41	4.281	1.497	2.896	282	61	200
11	Gamir	2	2	Control	11	Alcornoque	G-11	76.36	5.62	37.26	8.25	561.66	115.79	36.03	4.85	15.59	3.21	4.72	38.88	12.35	4.433	1.508	2.75	28	57	276
12	Gamir	2	2	Control	12	Alcornoque	G-12	71.89	5.27	47.29	8	583.66	112.27	33.15	5.2	17.61	3.39	3.44	30.05	18.19	3.657	1.255	3.355	69	129	149
13	Gamir	2	2	Control	13	Alcornoque	G-13	72.37	5.69	35.21	7.82	429.84	88.82	20.75	4.84	20.71	4.28	2.34	17.67	17.75	3.001	2.029	1.622	15	123	99
15	Gamir	3	2	Sequía	15	Quejigo	G-15	64.53	5.29	74.37	14.11	622.39	106.87	60.76	5.82	10.24	1.76	17.27	29.77	22.3	6.57	2.55	5.538	115	180	190
17	Gamir	3	2	Sequía	17	Alcornoque	G-17	69.17	5.07	63.12	12.69	842.25	146.05	51.79	5.77	16.26	2.82	11.21	28.93	10.93	5.765	1.774	5.174	53	66	98
18	Gamir	3	2	Sequía	18	Quejigo	G-18	62.41	5.59	62.94	16.52	813.32	142.41	48.99	5.71	16.6	2.91	5.27	29.37	10.56	5.37	1.852	6.29	59	206	88
19	Gamir	3	2	Sequía	19	Quejigo	G-19	68.26	5.22	44.82	8.6	804.85	152.04	32.07	5.29	25.09	4.74	3.43	25.12	14.98	6.747	1.158	3.866	106	465	174
20	Gamir	3	2	Sequía	20	Alcornoque	G-20	74.81	5.45	23.58	7.81	807.62	153.02	17.19	5.28	46.99	8.9	3.07	24.36	8.04	4.39	0.987	5.153	59	117	67
21	Gamir	3	2	Sequía	21	Alcornoque	G-21	83.6	5.62	28.05	6.74	576.42	148.41	28.59	3.88	20.16	5.19	1.91	15.25	11.98	4.4	1.141	3.693	71	53	125
22	Gamir	4	3	Sequía	23	Alcornoque	G-22	78.91	5.6	21.11	6.84	487.04	69.68	16.46	6.99	29.58	4.23	3.79	20.42	7.81	3.447	0.856	2.091	58	9	82
24	Gamir	4	3	Sequía	26	Quejigo	G-24	66.13	5.19	29.17	8.75	684.59	122.97	30.06	5.57	22.77	4.09	2.37	18.06	10.7	5.494	1.264	2.472	7	37	235
25	Gamir	4	3	Sequía	27	Alcornoque	G-25	78.14	5.32	29.27	7.56	653.13	123	41.47	5.31	15.75	2.97	0.41	21.05	23.33	6.21	0.864	2.736	3	116	84
26	Gamir	4	3	Sequía	30	Quejigo	G-26	70.7	5.12	33.35	11	674.93	127.64	39.81	5.29	16.95	3.21	1.37	28.55	15.6	5.604	1.374	3.334	486	15	136
27	Gamir	4	3	Sequía	31	Alcornoque	G-27	60.32	5.13	28.5	11.3	511.08	87.21	30.9	5.86	16.54	2.82	1.69	21.51	13.26	3.59	1.346	3.477	37	112	129
28	Gamir	4	3	Sequía	32	Quejigo	G-28	53.25	5.29	30.23	11.58	386.55	64.9	14.81	5.96	26.11	4.38	2.88	23.9	8.5	5.296	0.708	1.371	116	312	13
29	Gamir	5	3	Control	36	Quejigo	G-29	75.53	5.07	26.65	8.2	765.68	131.78	39.95	5.81	19.17	3.3	1.69	41.09	11.82	6.564	1.495	2.609	28	36	121
31	Gamir	5	3	Control	40	Quejigo	G-31	80.28	5.49	38.22	8.89	613.26	116.09	34.26	5.28	17.9	3.39	3.59	36.58	12.13	3.945	0.888	1.31	11	73	102
32	Gamir	5	3	Control	41	Alcornoque	G-32	72.22	5.15	42.71	11.39	829.95	151.14	50.36	5.49	16.48	3	3.63	34.82	21.71	4.341	1.81	3.155	15	175	76
33	Gamir	5	3	Control	42	Alcornoque	G-33	72.77	5.19	30.9	7.64	525.97	97.53	30.87	5.39	17.04	3.16	0.96	20.77	18.37	4.9	1.158	1.001	62	36	607
34	Gamir	5	3	Control	43	Alcornoque	G-34	74.63	5.04	29.85	7.31	481.25	77.81	25.01	6.19	19.24	3.11	2.93	25.8	8.11	3.198	1.059	0.603	54	69	180
35	Gamir	5	3	Control	44	Quejigo	G-35	78.29	6.69	51.37	8.16	162.16	89.49	37.83	1.81	4.29	2.37	0.91	59.08	2.76	8.945	1.548	0	0	249	135
